station_id,sample_date,species_name,occurrence
3001,10/8/03 0:00,Americhelidium shoemakeri Cmplx,2
3001,10/8/03 0:00,Ampelisca pugetica,1
3001,10/8/03 0:00,Ampharetidae,1
3001,10/8/03 0:00,Amphiuridae,1
3001,10/8/03 0:00,Aoroides sp A,1
3001,10/8/03 0:00,Aphelochaeta petersenae,2
3001,10/8/03 0:00,Aricidea (Acmira) catherinae,1
3001,10/8/03 0:00,Aricidea (Allia) antennata,2
3001,10/8/03 0:00,Aricidea (Aricidea) wassi,2
3001,10/8/03 0:00,Armandia brevis,1
3001,10/8/03 0:00,Carinoma mutabilis,1
3001,10/8/03 0:00,Chaetozone columbiana,1
3001,10/8/03 0:00,Chaetozone setosa Cmplx,6
3001,10/8/03 0:00,Chauliopleona dentata,1
3001,10/8/03 0:00,Chloeia pinnata,16
3001,10/8/03 0:00,Decamastus gracilis,1
3001,10/8/03 0:00,Deflexilodes norvegicus,2
3001,10/8/03 0:00,Diastylis crenellata,5
3001,10/8/03 0:00,Drilonereis sp,1
3001,10/8/03 0:00,Echinoidea,1
3001,10/8/03 0:00,Euchone arenae,2
3001,10/8/03 0:00,Eudorellopsis longirostris,3
3001,10/8/03 0:00,Euphilomedes carcharodonta,8
3001,10/8/03 0:00,Euphilomedes producta,4
3001,10/8/03 0:00,Glycera nana,1
3001,10/8/03 0:00,Heterophoxus oculatus,2
3001,10/8/03 0:00,Leptoplanidae,1
3001,10/8/03 0:00,Lumbrineris sp,1
3001,10/8/03 0:00,Malmgreniella sp,1
3001,10/8/03 0:00,Monoculodes emarginatus,2
3001,10/8/03 0:00,Myriochele gracilis,2
3001,10/8/03 0:00,Onuphis iridescens,5
3001,10/8/03 0:00,Paradiopatra parva,3
3001,10/8/03 0:00,Paranemertes californica,2
3001,10/8/03 0:00,Parvilucina tenuisculpta,2
3001,10/8/03 0:00,Pectinaria californiensis,1
3001,10/8/03 0:00,Phascolion sp A,1
3001,10/8/03 0:00,Phisidia sanctaemariae,2
3001,10/8/03 0:00,Polycirrus sp A,2
3001,10/8/03 0:00,Prionospio (Prionospio) dubia,1
3001,10/8/03 0:00,Prionospio (Prionospio) jubata,1
3001,10/8/03 0:00,Procampylaspis caenosa,1
3001,10/8/03 0:00,Rhepoxynius daboius,1
3001,10/8/03 0:00,Rhepoxynius stenodes,1
3001,10/8/03 0:00,Scalibregma californicum,1
3001,10/8/03 0:00,Spio filicornis,1
3001,10/8/03 0:00,Sthenelanella uniformis,2
3001,10/8/03 0:00,Tagelus sp,1
3001,10/8/03 0:00,Tellina carpenteri,7
3001,10/8/03 0:00,Typhlotanais sp,3
3001,10/8/03 0:00,Westwoodilla caecula,2
3001,10/8/03 0:00,Allocentrotus fragilis,319
3001,10/8/03 0:00,Astropecten verrilli,118
3001,10/8/03 0:00,Lytechinus pictus,2200
3001,10/8/03 0:00,Mediaster aequalis,12
3001,10/8/03 0:00,Nymphon pixellae,37
3001,10/8/03 0:00,Octopus rubescens,8
3001,10/8/03 0:00,Ophiopholis bakeri,3
3001,10/8/03 0:00,Ophiura luetkenii,20
3001,10/8/03 0:00,Pandalus platyceros,1
3001,10/8/03 0:00,Parastichopus californicus,20
3001,10/8/03 0:00,Philine auriformis,21
3001,10/8/03 0:00,Pleurobranchaea californica,12
3001,10/8/03 0:00,Pugettia producta,1
3001,10/8/03 0:00,Pyromaia tuberculata,12
4000,7/21/03 0:00,Ampelisca agassizi,2
4000,7/21/03 0:00,Ampelisca brachycladus,1
4000,7/21/03 0:00,Ampelisca brevisimulata,10
4000,7/21/03 0:00,Ampelisca careyi,3
4000,7/21/03 0:00,Ampelisca cristata microdentata,11
4000,7/21/03 0:00,Ampelisca pugetica,9
4000,7/21/03 0:00,Ampharete finmarchica,1
4000,7/21/03 0:00,Amphicteis scaphobranchiata,2
4000,7/21/03 0:00,Amphideutopus oculatus,1
4000,7/21/03 0:00,Amphiodia sp,1
4000,7/21/03 0:00,Aruga oculata,3
4000,7/21/03 0:00,Bivalvia,1
4000,7/21/03 0:00,Cadulus aberrans,3
4000,7/21/03 0:00,Caecognathia crenulatifrons,2
4000,7/21/03 0:00,Campylaspis canaliculata,1
4000,7/21/03 0:00,Carinoma mutabilis,2
4000,7/21/03 0:00,Cerapus tubularis Cmplx,1
4000,7/21/03 0:00,Ceriantharia,2
4000,7/21/03 0:00,Chone veleronis,3
4000,7/21/03 0:00,Crepidula sp,1
4000,7/21/03 0:00,Diaphorodoris lirulatocauda,1
4000,7/21/03 0:00,Diopatra sp,2
4000,7/21/03 0:00,Diopatra tridentata,1
4000,7/21/03 0:00,Dipolydora socialis,5
4000,7/21/03 0:00,Euclymeninae sp A,1
4000,7/21/03 0:00,Euphysa sp A,1
4000,7/21/03 0:00,Foxiphalus obtusidens,1
4000,7/21/03 0:00,Glottidia albida,1
4000,7/21/03 0:00,Glycinde armigera,2
4000,7/21/03 0:00,Haliophasma geminatum,4
4000,7/21/03 0:00,Hemilamprops californicus,1
4000,7/21/03 0:00,Heterocrypta occidentalis,1
4000,7/21/03 0:00,Leptopecten latiauratus,1
4000,7/21/03 0:00,Lineidae,3
4000,7/21/03 0:00,Lumbrineris californiensis,1
4000,7/21/03 0:00,Lyonsiidae,1
4000,7/21/03 0:00,Lysippe sp A,1
4000,7/21/03 0:00,Maldanidae,6
4000,7/21/03 0:00,Modiolus sp,2
4000,7/21/03 0:00,Monticellina siblina,3
4000,7/21/03 0:00,Monticellina sp SD4,1
4000,7/21/03 0:00,Mooreonuphis nebulosa,10
4000,7/21/03 0:00,Mooreonuphis sp,1
4000,7/21/03 0:00,Nephtys caecoides,2
4000,7/21/03 0:00,Nereis procera,2
4000,7/21/03 0:00,Notomastus latericeus,1
4000,7/21/03 0:00,Nuculana taphria,2
4000,7/21/03 0:00,Onuphis sp A,10
4000,7/21/03 0:00,Paraprionospio pinnata,2
4000,7/21/03 0:00,Pectinaria californiensis,1
4000,7/21/03 0:00,Pherusa neopapillata,1
4000,7/21/03 0:00,Photis lacia,1
4000,7/21/03 0:00,Phyllochaetopterus prolifica,1
4000,7/21/03 0:00,Phyllodoce sp,1
4000,7/21/03 0:00,Pista estevanica,1
4000,7/21/03 0:00,Pista sp,1
4000,7/21/03 0:00,Platynereis bicanaliculata,1
4000,7/21/03 0:00,Praxillella pacifica,5
4000,7/21/03 0:00,Prionospio (Prionospio) jubata,4
4000,7/21/03 0:00,Prototrygaeus jordanae,2
4000,7/21/03 0:00,Rhepoxynius bicuspidatus,1
4000,7/21/03 0:00,Rhepoxynius menziesi,2
4000,7/21/03 0:00,Rhepoxynius stenodes,1
4000,7/21/03 0:00,Scolanthus sp A,1
4000,7/21/03 0:00,Sigalion spinosus,5
4000,7/21/03 0:00,Spiochaetopterus costarum,1
4000,7/21/03 0:00,Spiophanes berkeleyorum,7
4000,7/21/03 0:00,Spiophanes bombyx,44
4000,7/21/03 0:00,Spiophanes duplex,20
4000,7/21/03 0:00,Spiophanes sp,1
4000,7/21/03 0:00,Sthenelais tertiaglabra,2
4000,7/21/03 0:00,Streblosoma sp B,2
4000,7/21/03 0:00,Syllis (Ehlersia) heterochaeta,4
4000,7/21/03 0:00,Tellina modesta,3
4000,7/21/03 0:00,Tenonia priops,2
4000,7/21/03 0:00,Thraciidae,1
4000,7/21/03 0:00,Tiron biocellata,1
4000,7/21/03 0:00,Turbonilla sp,1
4000,7/21/03 0:00,Westwoodilla caecula,2
4000,7/22/03 0:00,Astropecten verrilli,20
4000,7/22/03 0:00,Crangon alba,1
4000,7/22/03 0:00,Crassispira semiinflata,1
4000,7/22/03 0:00,Crossata californica,2
4000,7/22/03 0:00,Lepidozona sinudentata,1
4000,7/22/03 0:00,Luidia armata,1
4000,7/22/03 0:00,Lytechinus pictus,54
4000,7/22/03 0:00,Pagurus spilocarpus,1
4000,7/22/03 0:00,Philine auriformis,2
4001,7/19/03 0:00,Aeginellidae genus A sp A,1
4001,7/19/03 0:00,Aphelochaeta monilaris,1
4001,7/19/03 0:00,Axinodon redondoensis,1
